character_idx,character_name,movie_title,dialogue,polarity,subjectivity,intensity,therapist_semantic_score,wise_semantic_score,intelligent_semantic_score
3664,CASSANDRA,buffy the vampire slayer,"like what ? really ca n't . besides , it pretty interest . ca n't . history report . the norman and the saxon . okay , guy , how about the ozone layer ? it be pretty crucial subject . that reflect the student grow awareness of and involvement in the world around them . swear to god . no , wait . can be dumb . really . or mean , or whatever . can learn . 'm useful . what be you ? my parent have money what happen ? what do you want ?",0.1145833333333333,0.5720833333333333,0.0649350649350649,0.07707585,0.20495129,0.3367713
8502,OLD WOMAN,eternal sunshine of the spotless mind,"this book it essential that people read it because it the truth . and only know it . would you just try him ? you never know . a long a 'm here . you never know . hi , be in the neighborhood and thought 'd see",-0.0166666666666666,0.5666666666666668,0.0212765957446808,0.3180428,0.34995425,0.32943678
6028,FRANK,magnolia,"fuck you . you request my time and give it you , you call me liar and make accusation . and you say , if 'd know would n't have ask , then it not an attack ? well , do n't wan na be the sort of fella who do n't keep his word . give you my time , bitch . so fuck you now . time up . thank you for the interview . 'm quietly judging you . what be do ? and that what you 've heard ? go ahead and waste your time . an old stomp ground be this the attack portion of the interview , figure this be come sooner or later be the girl come in for the kill ? mm . hm . know alotta woman and 'm sure she remembers me . 'm not sure hear question in there ? this be how you wan na spend the time , then go , go , go you 're gon na be surprised at what waste it be the most useless thing in the world be that which be behind me , chapter three not really . there lot more important thing 'd like to put myself into in aid of what ? yes . and try and teach the student to ask : what be it in aid of ? thank you , muffy . funny thing be : this be an important element of , seduce and destory : face the past be an important way in not make progress , that something tell my men over and over so boring , so useless be that still linger ? muffy coffee ? warn you get on roll just realize this be for television , be n't it ? ca n't swear up and down like just do . that right , that right , and what 'm say , that none of my competitor can say be this : that there be no need for insight or understand . thing of the past ! go , over , do . do you realize how fuck miraculous this be ? how fuck razor sharp and cut edge and ahead of it time this concept be ? 'm talk about eliminate insight and understand a human value . god damn 'm good . there be no need for insight . there be no need for understand . have found way to take any subjective human experience in other word all the terrible shit or all the great shit that you 've have happen to you in your life and quickly and easily transform it in the unconscious mind through the subtle and cunning use of language . the settle into very light , very delicate , conversationally induced state : not trance , mind you , but state . state that be brand new . the system state . what do do ? realize that concept and put it into practical get my dick hard and fuck it use . 'm gon na build state for the seducer and the seducee to live , vote , breath , pay take and party dawn . 'm gon na teach method of language that will help anyone get piece of as , tit and tail like say , yeah go , go , go . 'm givin pearl here . and tell you samethin else : 'm not succeding in the bush because 'm frank tj mackey . if anything , there be woman out there that want to destroy me it make it twice a hard for me , run into some little muffin , know who be , know my scheme and plan shit , she gon na wan na fuck around , prove to her friend , say , , saw that guy , he be n't anything , do n't get me . so me ? 'm runnin on full throttle the whole fuckin time . dodge bullet left and right from terrorist blonde beauty . but tell you this : the battle of the bush be be fought and won by team mackey . can have cigarette ? just one look , one hesitation , one subtle gesture for me to know and 'm away on tangent get so fuckin amped at these seminar and lem me tell you why : because be what believe . be what teach , do a say , live by these rule a religiously a preach them : and you wan na know what ? 'm gettin pussy left , right , up , down , center and sideways . you get u room so quick ? be we gon na tape some stuff now ? be you ask me question ? would n't want that to be misunderstood : my enrollment be totally unoffical because be , sadly , unable to afford tuition up there . but there be three wonderful men who be kind enough to let me sit in on their class , and they 're name be : macready , horn and langtree among others . be completely independent financially , and like say : one sad sack shit . so what we 're look at here be true rag to rich story and think that what most people respond to in seduce , and at the end of the day ? hey it may not even be about pick up chick and stick your cock in it it about find what you can be in this world . define it . control it and say : will take what be mine . you just happen to get blow job out of it , then ? . no , no , no . certainly not . be n't officialy enrol , that right . be that unclear ? oh , yeah . no , no , no . they would n't frank be my mother father . my mother name , actually . good question . you 've do you 're research . what name ? my name ? do n't how much go but be enrol . be such loser back then . be misguide , pathetic be very fat . not even close to what be today . not the frank tj mackey you 're eager to talk to because be swim in what be a oppose to want . this close right . from to . not problem . people die . he pass away . go get , honey . she my mother . she retire . well guess it do n't . my father work in televison . my mother this be gon na sound silly to you she be librarian . hollywood , mainly . around here . just wait dad you want something can you say 'm here . 'm here now . what do you want ? do you want anything ? can you stand back maybe , mean just little bit in the room be ok , but back from u little so phil um think 'm gon na step in and try and see him and say something if he can talk mean : mmm . uh . huh . oh yeah . he in here ? uh . huh . have you ever see this mean , never mind , you say when do he go off chemo ? how long you think ? be he in pain ? . what go on ? how long have you take care of him ? let just wait one minute and stay here , okay ? yeah let maybe just stand . be linda here ? get your message . that you be try to get me right ? be you phil ? ? ?",-0.012373700934307,0.525882453685484,0.0451882845188284,0.23332039,0.24054527,0.32899186
8193,TREVES,the elephant man,"be good man or be bad man ? but why do do it ? what be this all for ? so john merrick could live out his last day in peace and comfort ? or so could become famous ? that be very little different from him . oh 've just be think about something that man byte say . hmmm ? you stay with me . yes . john love the house . 've only get until two tomorrow afternoon , when carr gomm meet him . somehow , between now and then 've get to make john merrick at least seem like an intelligent man why be fooling myself ? nothing short of john deliver the sermon on the mount be go to sway carr gomm 'm sorry do n't know either . just do n't know . and what quality be those ? intelligence or stupidity ? do n't know . ca n't explain it . if this be an intelligent man , trap in the body of monster , then 'm under moral obligation to help free that mind , free that spirit a best can , to help him live a full and content life a possible . but ! if he an imbecile , who body ca n't treat and who mind ca n't touch , well , then my obligation be discharge . they can put him where they will ; he wo n't be bother , wo n't be bother , and everyone conscience can remain free and untroubled . and that be my dilemma what be in his mind ? he be . mean , 've always thought he be . think he must be . be he simple ? or be that just something 've wish upon him to make thing simpler for myself ? well , be n't sure whether he be parrot me because that all he be capable of , or whether he sense that that all want to hear , and he be try to please me . should n't be . we make great progress today . taught him to repeat few basic phrase . he do rather well , too , but have to lead him every step of the way . though frankly , at time be unsure of who be lead whom . no , think whiskey . yes , very well , think . be the girl in bed ? 'll join you shortly . 'll get my bag . what be it ? do you see it ? yes ? now think we really do understand one another . so you can beat him ? so you can starve him ? dog in the street would fare well with you ! you do n't own this man ! all you do be profit from another man misery ! know what you 've do to him and he never go back to that . you misunderstood . this man suffer severe fall , if you take my meaning . he my patient now and must do what he still very sick . please come downstairs with me . 'll explain the situation . just moment , how do you get in here ? everything will be see to . you listen , you 're not go to have much of livelihood if this man dy . he get the rale , he very weak , and do n't know how much damage have be do by his fall . now stop waste time and fetch cab . this man belongs in hospital . why be he sit up like this ? he need rest . he must have take quite fall . what happen ? intend to . what do you mean ? do n't you think this be bit premature ? we do n't have the backing yet to please do . but he so afraid he go to be cart off . 've promise him that wo n't happen . have the response picked up ? no , we do n't . their committee have inform me that they 're unwilling to take merrick , even if they be supply with fund . they do n't want him . do you think they 'll go along with u ? well , yes . could easily arrange yes , think can . not me , sir . merrick . he succeed in spite of my shortsightedness . tell me , john , how do you know the rest of the psalm ? how do you , know the rest ? never taught you the rest of it . yes , 'm very sorry to have waste your time , sir . just felt that have to do anything could to protect him . and what be that , john ? yes , spoke to both the british home and royal hospital for incurable . 'm afraid that they be n't very encourage , but they say they 'd bring it up at their next committee meeting , so we should have their answer shortly . a say , it only physical problem but do feel that merrick be very flatter that you 're take the time and trouble to meet him , and he most anxious to make good impression , so he might seem rather nervous . it only physical problem . he have trouble with certain sound because of the constrictive deformity of the mouth . but he can talk , and have great eagerness to make contact with people who will let him . so if you have any difficulty understand what he be say , just tell me and 'll make it clear . yes , sir . wh whatever be most convenient for you , sir . thank you very much sir . shall we say in few day then ? then will you meet him , a representative of the committee . do n't agree . no one can make reasonable decision about this man future without at least meeting him . no doctor would presume to diagnose patient he have never met . well sir , perhaps should explain he do very well . in fact that why come to see you . think that if be to present merrick to the hospital committee , then they would have chance to see for themselves not only the extraordinary nature of the disease , but of the man a well . if the committee have chance to speak with him , hear him say few word for himself , 'm sure they would see him a patient , rather than a violation of the rule . ah , no sir . have plan to see them in the morning . yes sir , 'll look into that . would you like to meet him sir ? no , more of an acquaintance . yes , 'm well aware of that . but this case be quite exceptional . yes sir . well sir , he quite seriously deform , and fear the other patient would find him rather shock . no sir , he get bronchitis and he be badly beaten . do n't be frighten . he wo n't hurt you . it quite nutritious , sir . good morning , sir . he imbecile , no doubt from birth . he speaks , but it all gibberish . no , the man homeless idiot pray god he an idiot . do n't know what 've get . you 'll know presently . at the meeting of the society . but until then , beg of you fox , keep it to yourself . oh nothing nothing of any great importance . abominable thing these machine . one ca n't reason with them . mmmm . hodges , pierce come closer . hill , take hold of the rope please . it machine accident . expect you 'll be see good deal of this . how long have this man be here ? yes . yes . there be nothing more frustrate , nothing that make physician feel more useless , than stand by watch his patient deteriorate . and when that patient be friend , no no , there absolutely nothing can do . and yet , not once have any of u heard him complain . fear not , kendal . even in the short time he be go the size of his head have increase rapidly a be his pain . 'm very grateful to you , kendal . this be just the thing to help him forget his ordeal . john will be very excite . john , 'd like you to meet one of the brightest light of the british stage , kendal . kendal , john merrick . goodnight john . sleep well . no , no , would n't change thing . no , john , not one that can see . yes john ? 'm glad , john . goodnight . splendid . it truly masterpiece . well , suppose 'll be on my way now . hop your enjoy yourself this even . will the cathedral be finish soon , john ? it for you , john . it all for you . go ahead , let them see you . stand up , john . let them see you . john how can you ever forgive me ? be you sure ? because can take it back . be it the one you want ? there be one more thing , john . here . yes . yes , john . you want dress bag , john ? please john , it would give me so much pleasure to give you something . something just for yourself . be n't there something you would like to have ? how blind of me . be there anything else , john , anything at all that could get for you ? the cathedral be come along nicely . no john , ca n't . can care for you , but ca n't cure you . yes , john ? never , oh ! never , nothing will die . the stream flow the wind blow the heart beat nothing will die . john , there someone here who would like to meet you . would that be alright ? good morning , john . your mother ? oh , they 're go for the day with friend . of course . oh , our relative the child . oh yes . not at all , john . how be your tea , john ? that canopy , john . john what the matter ? john why be you upset ? when one be invite to tea , one must look one best . you look splendid , john . promise you . you will never see the inside of that horrible place again . you will never , ever go back to the workhouse or that man . it splendid room , do n't you think ? of course ! what do you think ? yes . very well , thank you . have something for you , john . 'm sure you 'll enjoy it , it very popular . good even . how be you feel ? we do have lot to talk about , do n't we ? never thought to ask . how can you ever forgive me ? why do you let me go on like that , teach you what you already knew ? why do n't you tell me you could read ? yes potato but merrick like the food here . do n't you john ? john , may introduce you to sir carr gomm . very good , very good . now , when your visitor come today want you to say it exactly the way you say it just now . will introduce him to you and you will say the word you 've learn . if you have any trouble with any of the word , 'll help you . 'm sure you 'll be just fine . if you do a well for him a you 've do for me these last two day , then 'm sure our visitor will be very pleased . now , let go through the whole thing again , shall we ? will say may introduce you to carr gomm . and you will say righteousness why , my dear mothershead , how good of you to join u . merrick , will you please introduce yourself ? well , that alright . understand you . now , say the whole thing again , hello say mmmerrick . say mmmerrick . say merrick . john merrick . my name be excellent ! now , say hello very good ! oh yes ! now listen . 'm go to say some thing to you and want you to repeat them um want you to say them back to me . do you understand ? 'm go to say some thing to you and want you to say them back to me . do you understand ? that much well . could understand that yes . yyyess . yes john ! so you see , john , there no need for lighthouse . all your friend be here . john think it very dash . something no gentleman should be without . 'm inclined to agree . you do n't think it too gaudy , do you . yes . john want it . dress bag . thank you , mothershead . have porter put them in my office . you 're right , mothershead , please forgive me of course , appreciate everything you 've do for john , and 'm glad that you be concerned about his welfare . but , 'm the physician in charge and must do what think best . 'm also very late , so please forgive me . be n't you be just little harsh , mothershead ? you yourself hardly treat john with much love kindness when he first arrive . now mothershead , you have to understand that this be very good for john . he relish contact with people outside the hospital oh well , quickly please , mothershead , 'm overdue . incredible , be n't it ? well , think john have have enough visitor for one day , mothershead . 've get lecture at the college , 'll be back this even . regret that must leave you here , lord , lady . thank you so much for come . it be an act of the great charity . 'm sure that if merrick make good impression on the hospital committee they 'd see that he the exception to their rule . now 'm not expect miracle . 'm not say he 'll be able to read or write , but do think that can get him to speak for himself . 'm go to arrange thing with carr gomm right now . that be very good , john , very good . that all for today . we shall do some more tomorrow . mothershead ? we 've make tremendous stride today , mothershead . he listens and repeat with great attention , and this certainly be n't easy for him . he have his share of smack , mothershead . expect that what drive him under the bed . we must use patience and understand with this man . no , he very upset about something . not quite yet , mothershead . there seem to be some difficulty this morning . yes ! the workhouse ! yes yes , let go in . yes well , want you to clear up little mess , breakfast tray be spilt . and bring up another breakfast . when you 've do that , you and shall give the man bath . but , mothershead , 'm counting on your many year of experience to get you through this , above all , do not scream , do not cry out , or in any way show this man that you be frighten of him good . excellent . now then , mothershead , want you to come into this room with me . inside there be man with rather unfortunate appearance . ah , mothershead . how be you feel today ? you 're the monster ! you 're the freak ! get out ! you 're finish ! you bastard ! you torture him . you torture him , you bastard . where be he ? he go ! do n't lie to me . know all about it . you be see . where do you take him ? where be merrick ? 'll send cab . here be my card . so you 'll bring him to me , tomorrow , ? mr ? ? ? pardon me ? 'd pay handsomely for private show . be you the proprietor ? just one of the curious . 'd like to see it . be you the proprietor ?",0.1811608200923843,0.5645182672696637,0.0453815261044176,0.28590766,0.29705006,0.3251259
4043,VAUGHAN,crash,"need to see you , ballard . need to talk to you about the project . you 're right , ballard . there an night in the airport service area . crude concept that float on the surface and do n't threaten anybody . use it to test the resilience of my potential partner in psychopathology . it the future , ballard , and you 're already part of it . for the first time , benevolent psychopathology beckons towards u . for example , the car crash be fertilize rather than destructive event liberation of sexual energy that mediates the sexuality of those who have die with an intensity impossible in any other form . to fully understand that , and to live that that be my project . the case could be make . no , mean crash with history . camus facel vega , or nathaniel nest station wagon , grace kelly rover . fix it just enough to get it roll . do n't clean it , do n't touch anything else . 've always want to drive crashed car . it something we 're all intimately involve in : the reshape of the human body by modern technology . live in my car . this be my workshop . it not the police . it the department of transport . internal politics . it joke . they have no idea who we really be crash victim ?",0.0132345779220779,0.4969940476190476,0.0045662100456621,0.32997635,0.30791652,0.32188225
2474,DEAN FULTON,the time machine,"very good . now if you will excuse u for moment . abstract mathematics , relativity of dimension , geometrical duration even allow for the us of speculation , what be the point ? the advance you speak of be the result of countless year of study and empirical experimentation , careful evolutionary process , not chalkboard . animal husbandry be science , hartdegen . have be breeding these fowl for fourteen year . have fill library with information on their feed pattern , social behavior and breeding . empirical , exact , quantifiable record . no , hartdegen , they be not just chicken and rooster . they be science . perhaps they be n't inspire to you . perhaps they do n't challenge you do they ? might ask why ? but know that none of my faculty would ever deviate from the assign curriculum . well , just a thought . surely it all be terrible mistake . this parent actually suggest that your freshman course in apply mathematics have somehow become seminar on theoretical physic ! a recall the syllabus the name of your tutorial be apply mathematics and engineering , be correct ? philby , hartdegen . receive the most extraordinary letter last week . from parent . we be always pleased to receive letter from parent . they be our employer , after all . this gentleman son be in your class , hartdegen . now you be upset my fowl . please go . you support his application , philby . you be his senior , advisor . depend upon you to restrain his excess . any repetition of the behavior witness in his classroom today and there will be consequence for you both . young man , we have way of do thing here . radical theorize be not acceptable . have make myself understood ? my fowl have pollute the yard .",0.157037037037037,0.5306790123456789,0.0204081632653061,0.0848219,0.14574084,0.32133472
